#;Source;Definition
1;Aldersgate (2012);A circular economy is a restorative industrial economy in which materials flows are of two types: biological nutrients, designed to re-enter the biosphere safely, and technical nutrients (non-biological materials), which are designed to circulate at high quality, with their economic value preserved or enhanced.
2;Allwood, Ashby, Gutowski, & Worrell (2011, p. 368);The UK government has extensively promoted a waste hierarchy of “reduce, re-use, recycle” (DoETR, 1995) now taken up in China as the ‘Circular Economy’ (Yuan et al., 2006), of which the first two options describe material efficiency, but in reality much policy has been oriented towards promoting the third (Bulkeley and Gregson, 2009).
3;Andersen (2007, p. 133);The concept of a circular economy – currently widely promoted in Asia – has its conceptual roots in industrial ecology, which envisions a form of material symbiosis between otherwise very different companies and production processes. Industrial ecology emphasises the benefits of recycling residual waste materials and by-products through, for example, the development of complex interlinkages, such as those in the renowned industrial symbiosis projects (see Jacobsen 2006). However, in more general terms, it promotes resource minimisation and the adoption of cleaner technologies (Andersen 1997, 1999).
4;Augustsson, Sörme, Karlsson, & Amneklev (2017, p. 696);A circular economy aims to reduce the inﬂow of new re-sources and instead reuse materials from various outﬂow streams, that is, the waste of society (EEA 2016). The high priority of waste recycling is supported by legislation, policies, and directives, for examples, the waste hierarchy in the EU (Directive2008/98/EC).
5;Bai, Qiao, Yao, Guo, & Xie (2014, p. 6);In 2006, the style of NDEIPs changed to a ‘circular’, integrated industry design. The Qingdao New World NDEIP is one of the leading examples. The Venous Industry EIPs are based on the concept of circular economy to recycling and reusing waste from existing industrial clusters like the veins in human body. Some industrial parks that were approved for NDEIP construction followed EIP guidance and had several key accomplishments related to NDEIP, including the low carbon development, material reduction and circulation, pollution control and environmental management.
6;Bakker, Wang, Huisman, & den Hollander (2014, p. 11);According to Stahel (1998: p 29), the key to product life extension “lies in the transformation of the actual linear production focused industrial economy into a utilization-focused service economy operating in loops”. This is a concise summary of the concept of a circular economy that is at the basis of much current design thinking. McDonough and Braungart (2002, 2013) for instance talk about “waste equals food” and “nutrient management” in their cradle-to-cradle design methodology and the Ellen MacArthur Foundation (2013) argues for “circular products” that complement a circular economy. Stahel (1998) likens the linear economy to a river and the circular economy to a lake, creating a useful metaphor of flow and loss versus retainment and preservation of value. Stahel (1998) likens the linear economy to a river and the circular economy to a lake, creating a useful metaphor of flow and loss versus retainment and reservation of value. This circular thinking underpins the EU Waste Framework Directive (2008/98/EC), which presents a waste management hierarchy of prevention, reuse, recycling, other recovery (i.e. energy recovery) and disposal, with prevention and reuse the preferred waste management approaches.
7;Baxter, Aurisicchio, & Childs (2017, p. 507);In a circular economy (CE) solution where cycling of material ﬂows provides repeated value, such impurities pose an implementation challenge and can add cost or complexity to the cycle or may even invalidate it.
8;Beek, Heijden, Ridley, & Alteren (2016, p. 8);We believe it does and that the solution lies in the development of a circular economy, where growth is decoupled from the use of scarce resources through disruptive technology, and business models are based on longevity, renewability, reuse, refurbishment, capacity sharing and dematerialisation. 
9;Bilitewski (2012, p. 1);The circular economy is a concept which is transforming traditional patterns of economic growth and production. A conventional perception of economic systems is that they are linear. The linear system is converted to a circular system when the connection between resource use and waste residuals is made.
10;Birat (2015, p. 1);"The rationale is that growth has been based in the past on wasting raw materials and resources (“the linear model"") and that a more resource-wary approach would benefit Europe by reducing the depletion of natural resources, whether they are rare or not, and the dependency of the Region on raw development of a circular economy, based on recycling, reuse, reduction – even elimination – of waste (all recyclable waste (plastics, metals, glass, paper, cardboard,  biodegradable waste) barred from landfilling by 2025 and all landfill stopped by 2030) and lean-eco design. This is similar to speaking of industrial and urban ecology, of urban metabolism and of exploiting urban or industrial mines."
11;Blomsma & Brennan (2017, p. 603);In this article, we examine the circular economy (CE) concept: an emergent framing around waste and resource management that aims to offer an alternative to prevalent linear take-make-dispose practices by promoting the notion of waste and resource cycling. Strategies such as, but not limited to, reuse, recycling, and remanufacturing operationalize this concept.
12;Bocken, de Pauw, Bakker, & van der Grinten (2016, p. 308);Circular economy: design and business model strategies [that are] slowing, closing, and narrowing resource loops
13;Bocken, Olivetti, Cullen, Potting, & Lifset (2017, p. 476);A CE aims to keep products, components, and materials at their highest utility and value at all times. The value is maintained or extracted though extension of product lifetimes by reuse, refurbishment, and remanufacturing as well as closing of resource cycles—through recycling and related strategies. An alternative strategy for extension of product lifetimes may be to use products more efficiently through sharing them or making them multifunctional. All these strategies may be facilitated through changes in ownership relationships, such as leasing and product service systems (PSSs).
14;Bocken, Ritala, & Huotari (2017, p. 487);The basic premises of the CE appear to be closing and slowing loops. Closing loops refers to (post consumer waste) recycling, slowing is about retention of the product value through maintenance, repair and refurbishment, and remanufacturing, and narrowing loops is about efficiency improvements, a notion that already is commonplace in the linear economy
16;Castellani, Sala, & Mirabella (2015, p. 374);Increasingly, reuse also represents a relevant new niche of business beyond “charity and thrift shops” and a fundamental element of the circular economy. For example, Gelbmann and Hammerl (2014) described an innovative business model based on reuse, considering that ecologically oriented work integration social enterprises focusing on reuse may constitute a novel kind of Sustainable Product–Service System (SPSS). This may also involve international trade (Brooks 2013).
17;Charonis (2012, p. 2);"Throughout this paper, the circular economy is understood as a system that is designed to be restorative and regenerative; restoration replaces the ‘end-of-life’ concept for products, energy systems are shifted towards renewable technologies, toxic chemicals that impair reuse are eliminated and waste is eliminated to the greatest extent possible through improved materials, products and systems design (Ellen MacArthur Foundation 2012)."
18;Chertow (2012);If cascading is conceptually stepwise, loop closing is more circular. A general name for many different variations of reuse and recycling of resources, loop closing occurs when a resource has a cyclical flow embedded in the industrial ecosystem and the resource, rather than being used in a degraded form, reappears akin to its original form.
19;Circular Academy (2017);A circular economy is a transformative economy redefining production and consumption patterns, inspired by ecosystems principles and restorative by design, which increases resilience, eliminates waste and creates shared value through an enhanced circulation of material and immaterial flows
20;Conticelli & Tondelli (2014, p. 335);If we consider, for instance, the Chinese Circular Economy (CE), which was introduced in 1998 as a new sustainable development strategy, which integrates cleaner production and industrial ecology in a broader system encompassing industrial firms, many more planning strategies could be identified in the EIP implementations, such as, for instance, site development preserving local natural features, recruitment of companies committed to high resource efficiency and low pollution, management to support the financial, environmental and social success of EIP companies and a strong linkage to surrounding communities through economic development, social and environmental programs.
21;Cullen (2017, p. 483);A circular economy is one that is restorative and regenerative by design and aims to keep products, components, and materials at their highest utility and value at all times
22;Dajian (2008, p. 4);"Therefore China’s idea of circular economy has its own characteristics. The author believes at least the following characteristics are worth emphasizing. First, China’s circular economy is an idea about the economic pattern in respect of nature rather than an idea about environmental management in some other countries, because China hopes to reduce resource consumption and pollutant production at sources and in the whole process by changing the economic pattern. It also hopes to achieve win-win in both economy and environment by circular economy instead of ‘economy without recycle’ or ‘recycle without economy’; therefore the department proposed for planning circular economy as a whole in China is the State Development and Reform Commission which has a comprehensive nature instead of environmental management departments in some other countries. Second, China’s circular economy not only aims at garbage economy or 3R economy for treating solid waste in respect of objects but at all scarce resources involved in China’s economic development, including water, land, energy, materials and corresponding waste; to a certain extent, it is of more urgent significance for China to develop circular economy which deals with consumption of water, land, energy and other resources and control of related pollutants. Third, China’s circular economy comprises different space levels in respect of scale and includes circular economy of individual enterprises, industrial parks and regions, etc. Fourth, China’s circular economy stresses progressively increased practice forms on the following three levels in respect of pattern and emphasizes the need to develop from low-level recycle of waste based on ecological efficiency (to reduce consumption and pollution) to high-level recycle of products and services based on ecological effects (to prevent consumption and pollution). "
23;Davis & Hall (2006);Thinking of the economy as a closed system --- as opposed to a linear system --- has spawned legislation that seeks to hold waste production and energy consumption within acceptable limits.  Examples include elaborate recycling and waste management legislation and associated laws and regulations now in effect in Japan and the European Union.  Such measures are generically referred to in this paper as “circular economy legislation.
24;den Hollander, Bakker, & Hultink (2017, p. 517);In a circular economy (CE), the economic and environmental value of materials is preserved for as long as possible by keeping them in the economic system, either by lengthening the life of the products formed from them or by looping them back in the system to be reused. The notion of waste no longer exists in a CE, because products and materials are,in principle, reused and cycled indeﬁnitely
25;Dupont-Inglis (2015);The concept of the circular economy is about decoupling growth from resource consumption and maximizing the positive environmental, economic and social effects. It’s about designing products so that they are easier to reuse or recycle and making sure that every product ingredient is biodegradable or fully recyclable. In short, it’s a concept that is perfectly aligned with the development of the bioeconomy and the transition towards biobased rather than fossil based products.
26;Dutch House of Representatives (2013) ;A circular economy is an economic system that takes the reusability of products and materials and the conservation of natural resources as starting point. It also strives for value creation for people, nature and the economy in each part of the system
27;Ellen MacArthur Foundation (2013);A circular economy is restorative and regenerative by design, and aims to keep products, components, and materials at their highest utility and value at all times. The concept distinguishes between technical and biological cycles. As envisioned by the originators, a circular economy is a continuous positive development cycle that preserves and enhances natural capital, optimises resource yields, and minimises system risks by managing finite stocks and renewable flows. It works effectively at every scale.
28;Ellen MacArthur Foundation (2014, p. 15);A circular economy is an industrial system that is restorative or regenerative by intention and design. It replaces the end-of-life concept with restoration, shifts towards the use of renewable energy, eliminates the use of toxic chemicals, which impair reuse and return to the biosphere, and aims for the elimination of waste through the superior design of materials, products, systems and business models. Such an economy is based on a few simple principles, as shown in Figure 2. First, at its core, a circular economy aims to design out waste. Waste does not exist: products are designed and optimized for a cycle of disassembly and reuse. These tight component and product cycles define the circular economy and set it apart from disposal and even recycling, where large amounts of embedded energy and labour are lost. Second, circularity introduces a strict differentiation between consumable and durable components of a product. 
