,Definition,Author,Year,Clean Definitions
105,"‘Circular economy’ (Xunhuan Jingji), also called the ‘recycling economy’, is described as a ‘scientific development model where resources become products, and the products are designed in such a way that they can be fully recycled’.",Yap,2006,"circular economy , also called the recycling economy, is described as a scientific development model where resources become products, and the products are designed in such a way that they can be fully recycled."
21,Thinking of the economy as a closed system --- as opposed to a linear system --- has spawned legislation that seeks to hold waste production and energy consumption within acceptable limits.  Examples include elaborate recycling and waste management legislation and associated laws and regulations now in effect in Japan and the European Union.  Such measures are generically referred to in this paper as “circular economy legislation.,Davis & Hall,2006,thinking of the economy as a closed system     as opposed to a linear system     has spawned legislation that seeks to hold waste production and energy consumption within acceptable limits.  examples include elaborate recycling and waste management legislation and associated laws and regulations now in effect in japan and the european union.  such measures are generically referred to in this paper as circular economy legislation.
107,"Although there is no commonly accepted definition of CE so far, the core of CE is the circular (closed) flow of materials and the use of raw materials and energy through multiple phases. The “3R” principles—reduction, reuse, and recycling of materials and energy—are often cited to describe the three possible approaches in practice (Feng 2004).The approach is expected to achieve an efficient economy while discharging fewer pollutants. The strategy requires complete reform of the whole system of human activity, which includes both production processes and consumption activities.","Yuan, Bi, & Moriguichi",2006,"although there is no commonly accepted definition of circular economy so far, the core of circular economy is the circular  flow of materials and the use of raw materials and energy through multiple phases. the 3r principles—reduction, reuse, and recycling of materials and energy—are often cited to describe the three possible approaches in practice .the approach is expected to achieve an efficient economy while discharging fewer pollutants. the strategy requires complete reform of the whole system of human activity, which includes both production processes and consumption activities."
2,"The concept of a circular economy – currently widely promoted in Asia – has its conceptual roots in industrial ecology, which envisions a form of material symbiosis between otherwise very different companies and production processes. Industrial ecology emphasises the benefits of recycling residual waste materials and by-products through, for example, the development of complex interlinkages, such as those in the renowned industrial symbiosis projects (see Jacobsen 2006). However, in more general terms, it promotes resource minimisation and the adoption of cleaner technologies (Andersen 1997, 1999).",Andersen,2007,"the concept of a circular economy – currently widely promoted in asia – has its conceptual roots in industrial ecology, which envisions a form of material symbiosis between otherwise very different companies and production processes. industrial ecology emphasises the benefits of recycling residual waste materials and by products through, for example, the development of complex interlinkages, such as those in the renowned industrial symbiosis projects . however, in more general terms, it promotes resource minimisation and the adoption of cleaner technologies ."
109,"The circular economy, which is a mode of economic development based on ecological circulation of natural materials, requires compliance with ecological laws and sound utilization of natural resources to achieve economic development. It is, essentially, an ecological economy that follows the principles of ‘‘reducing  resource use, reusing, and recycling’’, with the objectives of reducing the resources that enter the production process, effecting multiple use of the same resources in different ways, and reusing waste from one facility as a resource for other facilities. In this mode, with materials going through a feedback process of ‘‘resource– product–renewed resource’’, the ultimate objective of optimum production, optimized consumption and minimum waste can be achieved in production.",Zhijun & Nailing,2007,"the circular economy, which is a mode of economic development based on ecological circulation of natural materials, requires compliance with ecological laws and sound utilization of natural resources to achieve economic development. it is, essentially, an ecological economy that follows the principles of reducing  resource use, reusing, and recycling, with the objectives of reducing the resources that enter the production process, effecting multiple use of the same resources in different ways, and reusing waste from one facility as a resource for other facilities. in this mode, with materials going through a feedback process of resource– product–renewed resource, the ultimate objective of optimum production, optimized consumption and minimum waste can be achieved in production."
106,"With the above understanding, the circular economy defines its mission as resolving the problems from the perspective of reducing the material flux and making the material fl ow balanced between the ecosystem and the socioeconomic system. The approach includes:  (1) restructuring the material flow from the linear approach to a circular approach, i.e., from the resources to the products and to the wastes, then further translating the wastes to new resources and (2) raising the efficiency of resource utilization and reducing the intensity of emissions.",Yong,2007,"with the above understanding, the circular economy defines its mission as resolving the problems from the perspective of reducing the material flux and making the material fl ow balanced between the ecosystem and the socioeconomic system. the approach includes:   restructuring the material flow from the linear approach to a circular approach, i.e., from the resources to the products and to the wastes, then further translating the wastes to new resources and  raising the efficiency of resource utilization and reducing the intensity of emissions."
72,"However, circular economy actually requires organizing economic activities to form a feedback flow of “resources- products-regenerative resources” with the characteristics of low exploitation, high utilization, and low emission. All the substance and energy can be utilized reasonably and enduringly during the incessant economic circulation to reduce the influence on natural environment caused by economic activities as little as possible. ",Pin & Hutao,2007,"however, circular economy actually requires organizing economic activities to form a feedback flow of resources  products regenerative resources with the characteristics of low exploitation, high utilization, and low emission. all the substance and energy can be utilized reasonably and enduringly during the incessant economic circulation to reduce the influence on natural environment caused by economic activities as little as possible. "
32,"These paths include the following: industrialization pushed forward by information technology; sustainable development created by promoting a circular economy (CE) with optimal utilization of resources and energy; and maximization of integrated community profit. At the macro-level, the development of a CE emphasizes adjusting industrial composition and structure, creating resource recycling systems, and improving these recycling systems. At the meso-level, the will be developed by applying industrial ecology concepts. These concepts include: fostering networks among businesses and communities to optimize the use of resources; and planning of eco-efficient energy cascades. At the micro-level, the CE will ensure that byproducts are identified in individual enterprises and used effectively either internally through cleaner production (CP) or externally by other industries.","Fang, Côté, & Qin",2007,"these paths include the following: industrialization pushed forward by information technology; sustainable development created by promoting a circular economy  with optimal utilization of resources and energy; and maximization of integrated community profit. at the macro level, the development of a circular economy emphasizes adjusting industrial composition and structure, creating resource recycling systems, and improving these recycling systems. at the meso level, the will be developed by applying industrial ecology concepts. these concepts include: fostering networks among businesses and communities to optimize the use of resources; and planning of eco efficient energy cascades. at the micro level, the circular economy will ensure that byproducts are identified in individual enterprises and used effectively either internally through cleaner production  or externally by other industries."
74,"The term “circular economy” as mentioned in these Measures is a generic term for the reducing, reusing and recycling activities conducted in the process of production, circulation and consumption. The term “reducing” as mentioned in these Measures refers to reducing the consumption of resources and the production of wastes in the process of production, circulation and consumption. The term “reusing” as mentioned in these Measures refers to using wastes as products directly, using wastes after repair, renewal or reproduction or using part or all wastes as components of other products. The term “recycling” as mentioned in these Measures refers to using wastes as raw materials directly or after regeneration. Developing a circular economy is an important strategy for the economic and social development of the state. The development of a circular economy shall follow the principle of giving priority to reduction under the precondition of being technically feasible, economically rational and good for saving resources.",PRC,2008,"the term circular economy as mentioned in these measures is a generic term for the reducing, reusing and recycling activities conducted in the process of production, circulation and consumption. the term reducing as mentioned in these measures refers to reducing the consumption of resources and the production of wastes in the process of production, circulation and consumption. the term reusing as mentioned in these measures refers to using wastes as products directly, using wastes after repair, renewal or reproduction or using part or all wastes as components of other products. the term recycling as mentioned in these measures refers to using wastes as raw materials directly or after regeneration. developing a circular economy is an important strategy for the economic and social development of the state. the development of a circular economy shall follow the principle of giving priority to reduction under the precondition of being technically feasible, economically rational and good for saving resources."
20,"Therefore China’s idea of circular economy has its own characteristics. The author believes at least the following characteristics are worth emphasizing. First, China’s circular economy is an idea about the economic pattern in respect of nature rather than an idea about environmental management in some other countries, because China hopes to reduce resource consumption and pollutant production at sources and in the whole process by changing the economic pattern. It also hopes to achieve win-win in both economy and environment by circular economy instead of ‘economy without recycle’ or ‘recycle without economy’; therefore the department proposed for planning circular economy as a whole in China is the State Development and Reform Commission which has a comprehensive nature instead of environmental management departments in some other countries. Second, China’s circular economy not only aims at garbage economy or 3R economy for treating solid waste in respect of objects but at all scarce resources involved in China’s economic development, including water, land, energy, materials and corresponding waste; to a certain extent, it is of more urgent significance for China to develop circular economy which deals with consumption of water, land, energy and other resources and control of related pollutants. Third, China’s circular economy comprises different space levels in respect of scale and includes circular economy of individual enterprises, industrial parks and regions, etc. Fourth, China’s circular economy stresses progressively increased practice forms on the following three levels in respect of pattern and emphasizes the need to develop from low-level recycle of waste based on ecological efficiency (to reduce consumption and pollution) to high-level recycle of products and services based on ecological effects (to prevent consumption and pollution). ",Dajian,2008,"therefore chinas idea of circular economy has its own characteristics. the author believes at least the following characteristics are worth emphasizing. first, chinas circular economy is an idea about the economic pattern in respect of nature rather than an idea about environmental management in some other countries, because china hopes to reduce resource consumption and pollutant production at sources and in the whole process by changing the economic pattern. it also hopes to achieve win win in both economy and environment by circular economy instead of economy without recycle or recycle without economy; therefore the department proposed for planning circular economy as a whole in china is the state development and reform commission which has a comprehensive nature instead of environmental management departments in some other countries. second, chinas circular economy not only aims at garbage economy or 3r economy for treating solid waste in respect of objects but at all scarce resources involved in chinas economic development, including water, land, energy, materials and corresponding waste; to a certain extent, it is of more urgent significance for china to develop circular economy which deals with consumption of water, land, energy and other resources and control of related pollutants. third, chinas circular economy comprises different space levels in respect of scale and includes circular economy of individual enterprises, industrial parks and regions, etc. fourth, chinas circular economy stresses progressively increased practice forms on the following three levels in respect of pattern and emphasizes the need to develop from low level recycle of waste based on ecological efficiency  to high level recycle of products and services based on ecological effects . "
